size,k,annoy_time,fgc_time,count,dimension
150000,100,26089.789032936096,247.67827987670898,2,5
200000,10,7394.590258598328,20.42520046234131,2,3
200000,40,17280.779361724854,31.15439414978027,2,3
200000,100,35948.8410949707,59.17930603027344,2,3
200000,10,6895.864963531494,171.52583599090576,2,5
200000,40,17694.941878318787,216.80331230163574,2,5
200000,100,37141.56925678253,327.9987573623657,2,5
250000,10,9544.875741004944,22.218823432922363,2,3
250000,40,22899.842023849487,41.54765605926514,2,3
250000,100,46937.98923492432,80.90019226074219,2,3
250000,10,9076.489925384521,208.86516571044922,2,5
250000,40,22995.022177696228,295.7577705383301,2,5
250000,100,48507.14945793152,446.7529058456421,2,5
300000,10,12076.68936252594,24.4138240814209,2,3
300000,40,28143.025398254395,45.81928253173828,1,3
300000,100,58029.5684337616,104.83479499816895,1,3
300000,10,11094.149589538574,255.94806671142578,1,5
